Project Name,Project Description,Skills Required,Framework,Tools and Technology,Project Level,Category,Domain,Approx Time (in weeks),Branch,CGPA
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Cybersecurity,Finance,7,MECH,9.51
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,Cybersecurity,Finance,12,EEE,9.72
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Blockchain,Technology,22,CSE,8.98
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,Data Science,Entertainment,18,ECE,7.4
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Beginner,IoT,E-commerce,22,MECH,6.61
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Advanced,Blockchain,Healthcare,5,MECH,7.99
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Beginner,Blockchain,Education,22,CSE,7.67
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Intermediate,Blockchain,Education,12,ECE,6.19
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Beginner,IoT,Entertainment,8,EEE,9.46
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Beginner,IoT,Entertainment,10,MECH,7.84
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Beginner,IoT,Finance,19,ECE,7.54
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Beginner,Web Development,Technology,23,ECE,6.42
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Intermediate,Data Science,Entertainment,19,IT,6.44
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Intermediate,Data Science,Healthcare,24,EEE,6.4
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Beginner,Blockchain,Finance,4,ECE,9.99
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Advanced,Web Development,Entertainment,24,MECH,8.8
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Intermediate,Data Science,Education,10,ECE,9.17
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Intermediate,IoT,Finance,10,CSE,7.06
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Advanced,Web Development,Finance,19,MECH,6.17
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Intermediate,Web Development,E-commerce,13,CSE,8.46
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Intermediate,Blockchain,Finance,23,CSE,8.45
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Advanced,IoT,Healthcare,5,ECE,7.37
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Intermediate,IoT,Healthcare,24,IT,9.41
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Advanced,Cybersecurity,Finance,6,MECH,6.12
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Advanced,Game Development,Healthcare,22,EEE,8.34
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Intermediate,IoT,Finance,22,ECE,9.64
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Intermediate,Data Science,Technology,8,ECE,9.96
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Advanced,Game Development,Technology,5,MECH,8.89
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,Blockchain,Entertainment,7,EEE,6.03
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Intermediate,Data Science,Entertainment,10,IT,9.52
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Cybersecurity,Finance,9,MECH,6.69
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Data Science,Education,13,IT,9.37
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,Blockchain,Technology,19,MECH,9.84
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Advanced,IoT,Healthcare,18,EEE,8.99
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Beginner,Web Development,Finance,12,CSE,8.81
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Intermediate,Blockchain,Finance,17,IT,6.14
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Advanced,Blockchain,Entertainment,12,CSE,6.78
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Intermediate,Blockchain,Healthcare,4,CSE,9.82
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Web Development,E-commerce,22,CSE,8.12
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,IoT,E-commerce,17,IT,8.13
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Advanced,Cybersecurity,Entertainment,7,MECH,7.03
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Intermediate,Web Development,Finance,10,CSE,6.83
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Intermediate,Blockchain,Finance,4,IT,8.79
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Beginner,IoT,Entertainment,7,ECE,7.67
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Intermediate,Cybersecurity,Entertainment,24,MECH,7.24
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Advanced,Data Science,Healthcare,22,IT,6.93
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Intermediate,Web Development,Technology,23,EEE,9.12
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Beginner,Game Development,Education,8,ECE,8.71
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,Data Science,Healthcare,14,IT,8.28
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Intermediate,Data Science,Finance,16,IT,7.05
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Beginner,IoT,E-commerce,18,EEE,7.78
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Beginner,IoT,Technology,10,EEE,6.08
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Advanced,Cybersecurity,E-commerce,5,IT,7.12
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Intermediate,Data Science,Entertainment,7,MECH,9.21
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Advanced,Blockchain,Education,20,IT,6.44
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Game Development,Education,12,CSE,9.48
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Intermediate,Cybersecurity,Healthcare,23,IT,7.3
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Intermediate,Game Development,Healthcare,17,EEE,9.36
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Intermediate,Data Science,Technology,10,EEE,8.42
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Web Development,Technology,18,CSE,7.19
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,Game Development,Education,20,CSE,9.2
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Beginner,Data Science,Finance,17,MECH,9.27
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Blockchain,Education,23,CSE,7.99
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Cybersecurity,Technology,21,IT,8.17
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Intermediate,Cybersecurity,Technology,10,MECH,8.32
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Advanced,IoT,Technology,13,MECH,9.89
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Intermediate,Web Development,Technology,16,MECH,9.91
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Advanced,IoT,Entertainment,5,ECE,6.38
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Web Development,Finance,4,ECE,6.42
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Intermediate,Blockchain,Technology,24,ECE,6.04
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Advanced,Web Development,Education,22,MECH,6.59
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Advanced,Game Development,E-commerce,22,ECE,6.99
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Beginner,Game Development,Entertainment,6,IT,8.84
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Intermediate,Blockchain,E-commerce,5,CSE,6.44
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Advanced,Data Science,Finance,9,MECH,7.83
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Beginner,Data Science,E-commerce,4,EEE,6.72
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Intermediate,Web Development,Entertainment,13,ECE,7.62
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Intermediate,IoT,E-commerce,21,IT,6.57
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Advanced,IoT,Education,13,ECE,6.9
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Advanced,Cybersecurity,Education,8,IT,6.87
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Intermediate,Web Development,Healthcare,6,CSE,8.76
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Intermediate,IoT,Entertainment,15,CSE,8.4
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,IoT,Technology,11,EEE,6.7
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Intermediate,Cybersecurity,Healthcare,10,IT,9.24
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Intermediate,Game Development,Finance,13,IT,6.15
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Advanced,Game Development,Healthcare,19,ECE,8.57
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Beginner,Game Development,Technology,20,MECH,8.08
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Game Development,Healthcare,4,EEE,7.43
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Advanced,Game Development,Technology,20,IT,9.8
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Advanced,Blockchain,E-commerce,9,IT,6.56
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,Data Science,Finance,8,IT,9.27
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Advanced,Blockchain,Entertainment,15,IT,8.96
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Intermediate,Game Development,Education,17,IT,8.39
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Beginner,Data Science,Education,18,ECE,9.37
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Beginner,Web Development,E-commerce,20,IT,6.73
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Advanced,Cybersecurity,Finance,8,MECH,7.82
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Intermediate,Game Development,Healthcare,11,MECH,8.79
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Beginner,Cybersecurity,Finance,9,EEE,6.49
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Advanced,Web Development,E-commerce,24,ECE,6.78
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,Blockchain,Healthcare,18,CSE,7.9
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Beginner,IoT,Technology,16,EEE,6.49
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Data Science,E-commerce,22,CSE,6.68
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Beginner,Game Development,E-commerce,17,EEE,6.85
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Beginner,Web Development,Healthcare,14,MECH,8.22
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Blockchain,E-commerce,12,EEE,6.04
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Advanced,Blockchain,Entertainment,11,EEE,7.72
E-commerce Website,Build a user-friendly e-commerce website with payment gateway integration.,"HTML, CSS, JavaScript, PHP",Bootstrap,"Figma, Git",Beginner,Web Development,E-commerce,16,MECH,8.14
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Advanced,Cybersecurity,Technology,11,EEE,9.7
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Advanced,Web Development,E-commerce,8,CSE,8.67
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Intermediate,Cybersecurity,Healthcare,6,IT,8.55
AI Chatbot Development,Develop an AI-based chatbot using NLP and machine learning.,"Python, NLP, Machine Learning",TensorFlow,"VS Code, Jupyter Notebook",Beginner,Cybersecurity,Education,6,EEE,8.1
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Intermediate,Blockchain,E-commerce,22,IT,9.34
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Beginner,Web Development,Finance,24,CSE,9.24
Game Development,Create an engaging game with unique mechanics and design.,"C#, Unity, Game Design",Unity,"Blender, Unity",Advanced,Cybersecurity,Finance,21,ECE,9.5
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Advanced,Cybersecurity,Education,10,MECH,8.47
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Beginner,Web Development,Healthcare,15,IT,6.51
Social Media Analysis Tool,Analyze social media trends using big data tools.,"Python, Big Data, Hadoop",Hadoop,"Apache Spark, Hive",Beginner,Blockchain,Technology,5,CSE,7.99
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Advanced,Game Development,Entertainment,23,EEE,7.37
Cybersecurity Dashboard,Design a dashboard to monitor and prevent cybersecurity threats.,"Python, Network Security, Django",Flask,"Kali Linux, Wireshark",Intermediate,Game Development,Finance,22,MECH,9.26
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Beginner,Web Development,Finance,23,CSE,8.14
IoT Home Automation,Implement IoT-based automation for smart homes.,"C++, Arduino, IoT",IoT SDK,"Raspberry Pi, IoT SDK",Beginner,Blockchain,Finance,11,CSE,6.47
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Beginner,Blockchain,Healthcare,19,ECE,8.25
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Intermediate,Web Development,Technology,10,MECH,6.66
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Advanced,Data Science,E-commerce,23,CSE,9.7
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Intermediate,Web Development,Education,9,IT,8.54
Online Quiz Platform,Design a platform for conducting online quizzes.,"JavaScript, Node.js, React",Express.js,"Node.js, Git",Advanced,Web Development,Finance,20,EEE,9.03
Healthcare Prediction System,Create a predictive system for healthcare using machine learning.,"Python, Pandas, Scikit-learn",Django,"Jupyter, PyCharm",Intermediate,IoT,Healthcare,21,CSE,6.28
Weather Forecasting App,Build an application for weather forecasting using meteorological data.,"Python, Data Science, Flask",Flask,"Matplotlib, Flask",Advanced,Web Development,E-commerce,6,MECH,9.5
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Intermediate,IoT,Technology,6,IT,7.1
Blockchain Voting System,Develop a secure blockchain-based voting application.,"Solidity, Blockchain, Cryptography",Ethereum,"Truffle, Ganache",Beginner,Cybersecurity,Education,14,EEE,7.66
